Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S34,45,ng/uL,0.24,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,25.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S35,38.6,ng/uL,0.386,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,32.5,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S36,24.2,ng/uL,0.122,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,14.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S37,98.4,ng/uL,0.594,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,52.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S38,13,ng/uL,1.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,121,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S39,22.6,ng/uL,0.426,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,35.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S40,83.8,ng/uL,0.948,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,71.2,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S41,46.3,ng/uL,0.603,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,54.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S42,41.7,ng/uL,0.337,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,33.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S43,65.9,ng/uL,0.629,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,50,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S44,45.5,ng/uL,0.535,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,48,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S45,73.1,ng/uL,0.741,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,63.9,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S46,64.3,ng/uL,0.633,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,54.1,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S47,52,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S48,5.5,ng/uL,0.525,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,41.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S49,2.1,ng/uL,0.521,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,45.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S50,23.5,ng/uL,0.245,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,22.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S51,27.7,ng/uL,0.217,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,19.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S52,15.7,ng/uL,0.197,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,21.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S53,28,ng/uL,0.24,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,25.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S54,38.9,ng/uL,0.386,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,32.5,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S55,12,ng/uL,0.122,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,14.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S56,52,ng/uL,0.594,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,52.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S57,187,ng/uL,1.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,121,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S58,4.6,ng/uL,0.426,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,35.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S59,94.3,ng/uL,0.948,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,71.2,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S60,60,ng/uL,0.603,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,54.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S61,37,ng/uL,0.337,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,33.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S62,62,ng/uL,0.629,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,50,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S63,53.5,ng/uL,0.535,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,48,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S64,74.1,ng/uL,0.741,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,63.9,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S65,63.3,ng/uL,0.633,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,54.1,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S66,52,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S67,5.5,ng/uL,0.525,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,41.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S68,45.1,ng/uL,0.521,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,45.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S69,34.5,ng/uL,0.245,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,22.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:23 PM,dsDNA BR,S70,87.7,ng/uL,0.217,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,19.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S71,19.3,ng/uL,0.197,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,21.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S72,24,ng/uL,0.24,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,25.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S73,38.6,ng/uL,0.386,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,32.5,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S74,12.2,ng/uL,0.122,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,14.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S75,59.4,ng/uL,0.594,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,52.4,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S76,153,ng/uL,1.53,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,121,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S77,42.6,ng/uL,0.426,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,35.6,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:22:42 PM,dsDNA BR,S78,94.8,ng/uL,0.948,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,71.2,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S79,60.3,ng/uL,0.603,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.75975847625,353.64606542,,54.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S80,33.7,ng/uL,0.337,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.44789460188,366.300667177,,33.7,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S81,62.9,ng/uL,0.629,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,50,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S82,53.5,ng/uL,0.535,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,48,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S83,74.1,ng/uL,0.741,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,63.9,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S84,63.3,ng/uL,0.633,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,54.1,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S85,53,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S86,52.5,ng/uL,0.525,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,41.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S87,34.7,ng/uL,0.525,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.85995451083,307.69933693,,41.8,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S88,62.9,ng/uL,0.629,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,3.79860424045,313.916262986,,50,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S89,53.5,ng/uL,0.535,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.20249352039,348.004115184,,48,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S90,74.1,ng/uL,0.741,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,346.900366958,,63.9,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S91,63.3,ng/uL,0.633,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,4.00821766421,337.854765215,,54.1,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S92,51,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,8,1.9.0,8
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S93,24,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,,,
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S94,63.2,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,,,
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S95,78.9,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,,,
300625-172217,30/06/2025 05:23:01 PM,dsDNA BR,S96,74.1,ng/uL,0.323,ug/mL,2,100,N/A,2.00-500,500-1000,BLUE,5.20454793644,303.094396655,,28.3,13/06/2025 02:51:58 PM,,,,,,,,
